"nameWithOwner","url","createdAt","committedDate","commitCountAfterFork"
"qq642672661/WechatVideoCourse","https://github.com/qq642672661/WechatVideoCourse","2018-01-25T08:18:49Z","2018-01-25T06:38:46Z",0
"fjzhugw/WechatVideoCourse","https://github.com/fjzhugw/WechatVideoCourse","2018-01-27T02:55:26Z","2018-01-27T02:55:12Z",0
"10wangxiaohu/WechatVideoCourse","https://github.com/10wangxiaohu/WechatVideoCourse","2018-01-27T08:58:59Z","2018-01-27T02:59:09Z",0
"Allen0910/WechatVideoCourse","https://github.com/Allen0910/WechatVideoCourse","2018-01-27T16:28:59Z","2018-01-27T02:59:09Z",0
"hfendou/WechatVideoCourse","https://github.com/hfendou/WechatVideoCourse","2018-01-28T07:10:13Z","2018-09-20T07:04:32Z",87
"xcjxyy/WechatVideoCourse","https://github.com/xcjxyy/WechatVideoCourse","2018-01-28T13:10:32Z","2018-01-28T09:55:14Z",0
"geffzhang/WechatVideoCourse","https://github.com/geffzhang/WechatVideoCourse","2018-01-28T13:51:26Z","2018-01-28T09:55:14Z",0
"lwj0310/WechatVideoCourse","https://github.com/lwj0310/WechatVideoCourse","2018-01-29T00:22:39Z","2018-04-03T11:34:07Z",62
"fuhuiping/WechatVideoCourse","https://github.com/fuhuiping/WechatVideoCourse","2018-01-29T02:19:47Z","2018-01-29T03:13:14Z",1
"lb0726/WechatVideoCourse","https://github.com/lb0726/WechatVideoCourse","2018-01-30T13:22:29Z","2018-01-29T13:14:18Z",0
"jiayousoft/WechatVideoCourse","https://github.com/jiayousoft/WechatVideoCourse","2018-01-31T01:48:26Z","2018-03-03T01:14:13Z",49
"Yeshdok/WechatVideoCourse","https://github.com/Yeshdok/WechatVideoCourse","2018-02-04T13:08:32Z","2018-05-12T08:21:21Z",73
"cjr0409/WechatVideoCourse","https://github.com/cjr0409/WechatVideoCourse","2018-02-05T06:45:25Z","2018-02-03T16:00:30Z",0
"zhuwangvip/WechatVideoCourse","https://github.com/zhuwangvip/WechatVideoCourse","2018-02-05T06:58:14Z","2018-02-03T16:00:30Z",0
"wyyeed/WechatVideoCourse","https://github.com/wyyeed/WechatVideoCourse","2018-02-05T13:06:15Z","2018-02-03T16:00:30Z",0
"DexterDDD/WechatVideoCourse","https://github.com/DexterDDD/WechatVideoCourse","2018-02-05T13:28:29Z","2018-02-03T16:00:30Z",0
"fjwgrace/WechatVideoCourse","https://github.com/fjwgrace/WechatVideoCourse","2018-02-08T15:04:29Z","2018-02-07T09:05:51Z",0
"ainrt/WechatVideoCourse","https://github.com/ainrt/WechatVideoCourse","2018-02-08T17:32:29Z","2018-02-07T09:05:51Z",0
"liuw79/WechatVideoCourse","https://github.com/liuw79/WechatVideoCourse","2018-02-09T12:08:39Z","2018-02-09T12:18:30Z",1
"susuqq/WechatVideoCourse","https://github.com/susuqq/WechatVideoCourse","2018-02-10T12:45:48Z","2018-02-07T09:05:51Z",0
"BinLiang1990/WechatVideoCourse","https://github.com/BinLiang1990/WechatVideoCourse","2018-02-11T01:14:48Z","2018-02-07T09:05:51Z",0
"boating008/WechatVideoCourse","https://github.com/boating008/WechatVideoCourse","2018-02-13T02:16:25Z","2018-02-12T15:28:38Z",0
"wmhang/WechatVideoCourse","https://github.com/wmhang/WechatVideoCourse","2018-02-20T02:04:49Z","2018-02-19T16:08:32Z",0
"iliangdian/WechatVideoCourse","https://github.com/iliangdian/WechatVideoCourse","2018-02-21T05:38:02Z","2018-02-20T18:05:07Z",0
"GibunhuOo/WechatVideoCourse","https://github.com/GibunhuOo/WechatVideoCourse","2018-02-22T10:15:05Z","2018-02-21T07:53:17Z",0
