nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork
handled/tflite-react-native,https://github.com/handled/tflite-react-native,2019-06-07T02:08:51+09,2019-07-03T11:37:25+09,6
egasimus/tflite-react-native,https://github.com/egasimus/tflite-react-native,2019-07-07T06:23:26+09,2019-07-08T05:48:06+09,1
physera/tflite-react-native,https://github.com/physera/tflite-react-native,2019-07-16T09:42:36+09,2019-11-12T07:27:32+09,7
LorandP/tflite-react-native,https://github.com/LorandP/tflite-react-native,2019-08-25T16:44:40+09,2019-08-25T16:48:55+09,1
kaelhem/tflite-react-native,https://github.com/kaelhem/tflite-react-native,2019-09-09T21:58:08+09,2019-09-13T09:07:25+09,7
giri-prasad/tflite-react-native,https://github.com/giri-prasad/tflite-react-native,2020-02-17T11:10:16+09,2020-02-17T11:54:16+09,2
aftadizca/tflite-react-native,https://github.com/aftadizca/tflite-react-native,2020-04-03T02:57:15+09,2021-04-12T22:20:00+09,11
leonamjlpaula/tflite-react-native-alternative,https://github.com/leonamjlpaula/tflite-react-native-alternative,2020-04-07T02:12:20+09,2020-04-08T23:25:48+09,6
gash48/tflite-react-native,https://github.com/gash48/tflite-react-native,2020-09-26T02:30:16+09,2020-09-26T06:47:25+09,3
fullstackers/tflite-react-native,https://github.com/fullstackers/tflite-react-native,2021-01-06T01:34:59+09,2021-01-09T06:26:02+09,3
JulianoLoren/tflite-react-native,https://github.com/JulianoLoren/tflite-react-native,2021-06-09T00:53:14+09,2021-06-09T01:00:48+09,1
Pingou/tflite-react-native,https://github.com/Pingou/tflite-react-native,2021-10-26T18:05:48+09,2021-10-26T18:18:06+09,1
sarons/tflite-react-native,https://github.com/sarons/tflite-react-native,2022-01-01T05:15:59+09,2022-01-01T13:02:10+09,2
dinesh-hannurkar/tflite-react-native,https://github.com/dinesh-hannurkar/tflite-react-native,2022-04-08T20:03:47+09,2022-04-08T20:20:34+09,1
gpomponio/react-native-tensorflow-lite-android,https://github.com/gpomponio/react-native-tensorflow-lite-android,2022-05-30T19:39:16+09,2022-06-10T18:41:11+09,1
