nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
S-Kaushik/nativebase-todo-app,https://github.com/S-Kaushik/nativebase-todo-app,2016-06-22T22:50:53+09,2016-06-23T16:35:35+09,2,1,165,1,165,0,0
Proxiweb/native-starter-kit,https://github.com/Proxiweb/native-starter-kit,2016-09-08T14:34:16+09,2016-09-08T17:16:00+09,1,37,51,0,0,1,1
pranavrajs/native-starter-kit,https://github.com/pranavrajs/native-starter-kit,2016-10-21T17:39:05+09,2017-04-05T16:14:12+09,25,10481,863,13,60,53,24
ngtrieuvi92/native-starter-kit,https://github.com/ngtrieuvi92/native-starter-kit,2016-10-21T23:48:13+09,2016-10-21T23:57:07+09,2,0,0,0,0,1,0
Stonelinks/native-starter-kit,https://github.com/Stonelinks/native-starter-kit,2016-11-01T11:54:09+09,2016-11-01T13:06:41+09,2,16,2345,16,157,0,64
alexicum/native-starter-kit,https://github.com/alexicum/native-starter-kit,2016-11-11T08:17:43+09,2016-11-12T00:22:51+09,1,1,1,0,0,0,0
adorris1/native-starter-kit,https://github.com/adorris1/native-starter-kit,2016-12-30T10:00:06+09,2017-04-03T08:34:03+09,11,1954,95,0,0,34,0
milkers/native-starter-kit,https://github.com/milkers/native-starter-kit,2017-02-27T18:20:52+09,2017-02-27T18:28:11+09,1,28,8,0,0,0,0
kondoSoft/que_hacer_movil,https://github.com/kondoSoft/que_hacer_movil,2017-03-23T07:28:07+09,2017-09-30T07:50:03+09,94,21649,910,177,127,1038,3
darrenchiu/native-starter-kit,https://github.com/darrenchiu/native-starter-kit,2017-04-28T11:45:05+09,2017-04-28T17:56:44+09,3,264,74,0,0,3,0
jacktator/react-native-template,https://github.com/jacktator/react-native-template,2017-06-15T14:20:28+09,2017-06-22T10:30:58+09,7,123233,1008,94,169,165,8
kurtmarcink/native-starter-kit,https://github.com/kurtmarcink/native-starter-kit,2017-06-25T13:27:14+09,2017-06-25T13:33:40+09,1,4,4,0,0,0,0
loganfreeman/native-starter-kit,https://github.com/loganfreeman/native-starter-kit,2017-06-29T13:11:57+09,2017-06-29T14:41:12+09,4,41,17,0,0,1,0
gouravsood/native-starter-kit,https://github.com/gouravsood/native-starter-kit,2017-07-19T18:01:45+09,2017-07-20T06:01:53+09,3,14,1,0,0,0,0
Maelstroms/touro,https://github.com/Maelstroms/touro,2017-08-11T00:17:10+09,2017-08-30T09:19:20+09,21,2662,49,1,0,47,14
almegdad/native-starter-kit,https://github.com/almegdad/native-starter-kit,2017-09-05T15:58:42+09,2017-09-05T16:08:19+09,1,1,0,0,0,0,0
alecperkey/native-starter-kit,https://github.com/alecperkey/native-starter-kit,2017-09-19T05:50:30+09,2017-09-19T08:48:58+09,1,8,5,2,1,0,0
janstrohbeck/native-starter-kit,https://github.com/janstrohbeck/native-starter-kit,2017-10-10T16:39:46+09,2017-10-10T18:18:38+09,1,5080,3126,3,10,38,29
petekeller2/native-starter-kit,https://github.com/petekeller2/native-starter-kit,2018-09-12T09:48:53+09,2018-09-12T09:58:43+09,1,1,1,0,0,0,0
arunkarka/native-starter-kit,https://github.com/arunkarka/native-starter-kit,2020-05-15T14:43:57+09,2020-08-21T11:38:46+09,1,10,4,0,0,0,0
